,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,-42,29,39,23695.88326,22961.85,30829.396920000007,0.030977248323935225,2023-01-30 05:30:00,2023-02-09 05:30:00,10 days
1,44,39,46,23007.773699999998,24322.87,57864.23720000005,0.05715878107754513,2023-02-09 05:30:00,2023-02-16 05:30:00,7 days
2,-44,46,62,24274.22426,22354.34,84474.90743999995,0.07909147742215017,2023-02-16 05:30:00,2023-03-04 05:30:00,16 days
3,52,62,72,22399.04868,24112.27,89087.50864000003,0.07648634299052737,2023-03-04 05:30:00,2023-03-14 05:30:00,10 days
4,-52,72,111,24064.04546,27262.84,-166337.31607999996,-0.1329283783691788,2023-03-14 05:30:00,2023-04-22 05:30:00,39 days
5,40,111,148,27317.36568,28065.01,29905.772799999977,0.027368829365101544,2023-04-22 05:30:00,2023-05-29 05:30:00,37 days
6,-40,148,161,28008.879979999998,25841.22,86706.39919999987,0.0773918836293288,2023-05-29 05:30:00,2023-06-11 05:30:00,13 days
7,46,161,170,25892.90244,26844.35,43766.58775999986,0.036745496655105736,2023-06-11 05:30:00,2023-06-20 05:30:00,9 days
8,-46,170,190,26790.6613,30160.71,-155022.24019999997,-0.12579191914161525,2023-06-20 05:30:00,2023-07-10 05:30:00,20 days
9,36,190,194,30221.03142,31454.23,44395.14888000001,0.040805972597741436,2023-07-10 05:30:00,2023-07-14 05:30:00,4 days
10,-36,194,195,31391.32154,30312.0,38855.57544000003,0.03438280031073837,2023-07-14 05:30:00,2023-07-15 05:30:00,1 days
11,38,195,279,30372.624,27931.1,-92777.91200000004,-0.0803856788929399,2023-07-15 05:30:00,2023-10-07 05:30:00,84 days
12,-39,279,388,27875.2378,39897.59,-468871.7357999999,-0.4312914668659795,2023-10-07 05:30:00,2024-01-24 05:30:00,109 days
13,15,388,395,39977.38518,42941.1,44455.722300000016,0.07413478411996532,2024-01-24 05:30:00,2024-01-31 05:30:00,7 days
